curriculum_sequence,curriculum_entry,curriculum_level,alias,alias_type,source_print_page
387,busy,compulsory_education,busy,primary,128
388,but,compulsory_education,but,primary,128
389,butcher,high_school_selective_compulsory,butcher,primary,128
390,butter,high_school_compulsory,butter,primary,128
391,button,high_school_compulsory,button,primary,128
392,buy,compulsory_education,buy,primary,128
393,by,compulsory_education,by,primary,128
394,cabbage,high_school_selective_compulsory,cabbage,primary,128
395,café,high_school_compulsory,café,primary,128
396,cafeteria,high_school_selective_compulsory,cafeteria,primary,128
397,cage,high_school_selective_compulsory,cage,primary,128
398,cake,compulsory_education,cake,primary,128
399,calculate,high_school_selective_compulsory,calculate,primary,128
400,calendar,compulsory_education,calendar,primary,128
401,call,compulsory_education,call,primary,128
402,calligraphy,high_school_selective_compulsory,calligraphy,primary,128
403,calm,high_school_compulsory,calm,primary,128
404,calorie,high_school_selective_compulsory,calorie,primary,128
405,camel,high_school_selective_compulsory,camel,primary,129
406,camera,compulsory_education,camera,primary,129
407,camp,compulsory_education,camp,primary,129
408,campaign,high_school_selective_compulsory,campaign,primary,129
409,campus,high_school_compulsory,campus,primary,129
410,can,compulsory_education,can,primary,129
411,Canada,compulsory_education,Canada,primary,129
412,Canadian,compulsory_education,Canadian,primary,129
413,canal,high_school_selective_compulsory,canal,primary,129
414,cancel,compulsory_education,cancel,primary,129
415,cancer,high_school_selective_compulsory,cancer,primary,129
416,candidate,high_school_selective_compulsory,candidate,primary,129
417,candle,compulsory_education,candle,primary,129
418,candy,compulsory_education,candy,primary,129
419,canteen,high_school_selective_compulsory,canteen,primary,129
420,cap,compulsory_education,cap,primary,129
421,capable,high_school_compulsory,capable,primary,129
422,capacity,high_school_selective_compulsory,capacity,primary,129
423,capital,compulsory_education,capital,primary,129
424,capsule,high_school_selective_compulsory,capsule,primary,129
425,captain,high_school_selective_compulsory,captain,primary,129
426,car,compulsory_education,car,primary,129
427,carbon,high_school_compulsory,carbon,primary,129
428,card,compulsory_education,card,primary,129
429,care,compulsory_education,care,primary,129
430,career,high_school_selective_compulsory,career,primary,129
431,careful,compulsory_education,careful,primary,129
432,careless,compulsory_education,careless,primary,129
433,carpet,high_school_selective_compulsory,carpet,primary,129
434,carrot,compulsory_education,carrot,primary,129
435,carry,compulsory_education,carry,primary,129
436,cartoon,compulsory_education,cartoon,primary,129
437,carve,high_school_selective_compulsory,carve,primary,129
438,case,high_school_compulsory,case,primary,129
439,cash,high_school_compulsory,cash,primary,129
440,cast,high_school_selective_compulsory,cast,primary,129
441,castle,high_school_selective_compulsory,castle,primary,129
442,cat,compulsory_education,cat,primary,129
443,catch,compulsory_education,catch,primary,129
444,category,high_school_selective_compulsory,category,primary,129
445,cattle,high_school_compulsory,cattle,primary,129
446,cause,compulsory_education,cause,primary,129
447,cave,high_school_selective_compulsory,cave,primary,129
