sequence,raw_entry,entry,headword,parenthetical_note,marker,curriculum_level,form_type,alphabetic_section,source_pdf_page,source_print_page,source_id
674,creature**,creature,creature,,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2
675,credit*,credit,credit,,*,high_school_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2
676,crew**,crew,crew,,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2
677,crime**,crime,crime,,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2
678,crisis**,crisis,crisis,,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2
679,criterion (pl. criteria)**,criterion (pl. criteria),criterion,pl. criteria,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2
680,critical**,critical,critical,,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2
681,criticise (criticize)**,criticise (criticize),criticise,criticize,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2
682,crop**,crop,crop,,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2
683,cross,cross,cross,,,compulsory_education,word,C,141,133,moe-hs-english-2017-2020-appendix-2
684,crowd*,crowd,crowd,,*,high_school_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2
685,crucial**,crucial,crucial,,**,high_school_selective_compulsory,word,C,142,134,moe-hs-english-2017-2020-appendix-2
686,cruel**,cruel,cruel,,**,high_school_selective_compulsory,word,C,142,134,moe-hs-english-2017-2020-appendix-2
687,cry,cry,cry,,,compulsory_education,word,C,142,134,moe-hs-english-2017-2020-appendix-2
688,cuisine**,cuisine,cuisine,,**,high_school_selective_compulsory,word,C,142,134,moe-hs-english-2017-2020-appendix-2
689,culture,culture,culture,,,compulsory_education,word,C,142,134,moe-hs-english-2017-2020-appendix-2
690,cup,cup,cup,,,compulsory_education,word,C,142,134,moe-hs-english-2017-2020-appendix-2
691,cupboard**,cupboard,cupboard,,**,high_school_selective_compulsory,word,C,142,134,moe-hs-english-2017-2020-appendix-2
692,cure*,cure,cure,,*,high_school_compulsory,word,C,142,134,moe-hs-english-2017-2020-appendix-2
693,curious*,curious,curious,,*,high_school_compulsory,word,C,142,134,moe-hs-english-2017-2020-appendix-2
694,current*,current,current,,*,high_school_compulsory,word,C,142,134,moe-hs-english-2017-2020-appendix-2
695,curtain**,curtain,curtain,,**,high_school_selective_compulsory,word,C,142,134,moe-hs-english-2017-2020-appendix-2
696,custom*,custom,custom,,*,high_school_compulsory,word,C,142,134,moe-hs-english-2017-2020-appendix-2
697,customer,customer,customer,,,compulsory_education,word,C,142,134,moe-hs-english-2017-2020-appendix-2
698,cut,cut,cut,,,compulsory_education,word,C,142,134,moe-hs-english-2017-2020-appendix-2
699,cute,cute,cute,,,compulsory_education,word,C,142,134,moe-hs-english-2017-2020-appendix-2
700,cycle**,cycle,cycle,,**,high_school_selective_compulsory,word,C,142,134,moe-hs-english-2017-2020-appendix-2
701,daily,daily,daily,,,compulsory_education,word,D,142,134,moe-hs-english-2017-2020-appendix-2
702,damage**,damage,damage,,**,high_school_selective_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
703,damp**,damp,damp,,**,high_school_selective_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
704,dance,dance,dance,,,compulsory_education,word,D,142,134,moe-hs-english-2017-2020-appendix-2
705,danger,danger,danger,,,compulsory_education,word,D,142,134,moe-hs-english-2017-2020-appendix-2
706,dangerous,dangerous,dangerous,,,compulsory_education,word,D,142,134,moe-hs-english-2017-2020-appendix-2
707,dare**,dare,dare,,**,high_school_selective_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
708,dark,dark,dark,,,compulsory_education,word,D,142,134,moe-hs-english-2017-2020-appendix-2
709,data*,data,data,,*,high_school_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
710,database**,database,database,,**,high_school_selective_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
711,date,date,date,,,compulsory_education,word,D,142,134,moe-hs-english-2017-2020-appendix-2
712,daughter,daughter,daughter,,,compulsory_education,word,D,142,134,moe-hs-english-2017-2020-appendix-2
713,day,day,day,,,compulsory_education,word,D,142,134,moe-hs-english-2017-2020-appendix-2
714,dead,dead,dead,,,compulsory_education,word,D,142,134,moe-hs-english-2017-2020-appendix-2
715,deadline**,deadline,deadline,,**,high_school_selective_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
716,deaf,deaf,deaf,,,compulsory_education,word,D,142,134,moe-hs-english-2017-2020-appendix-2
717,deal,deal,deal,,,compulsory_education,word,D,142,134,moe-hs-english-2017-2020-appendix-2
718,dear,dear,dear,,,compulsory_education,word,D,142,134,moe-hs-english-2017-2020-appendix-2
719,death*,death,death,,*,high_school_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
720,debate**,debate,debate,,**,high_school_selective_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
721,debt**,debt,debt,,**,high_school_selective_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
722,decade**,decade,decade,,**,high_school_selective_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
723,December,December,December,,,compulsory_education,word,D,142,134,moe-hs-english-2017-2020-appendix-2
724,decent**,decent,decent,,**,high_school_selective_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
725,decide,decide,decide,,,compulsory_education,word,D,142,134,moe-hs-english-2017-2020-appendix-2
726,decision,decision,decision,,,compulsory_education,word,D,142,134,moe-hs-english-2017-2020-appendix-2
727,declare*,declare,declare,,*,high_school_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
728,decline**,decline,decline,,**,high_school_selective_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
729,decorate*,decorate,decorate,,*,high_school_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
730,decrease**,decrease,decrease,,**,high_school_selective_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
731,deep,deep,deep,,,compulsory_education,word,D,142,134,moe-hs-english-2017-2020-appendix-2
732,deer*,deer,deer,,*,high_school_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
733,defeat**,defeat,defeat,,**,high_school_selective_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
734,defence (defense)*,defence (defense),defence,defense,*,high_school_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
735,defend**,defend,defend,,**,high_school_selective_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
736,definitely*,definitely,definitely,,*,high_school_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
737,definition**,definition,definition,,**,high_school_selective_compulsory,word,D,142,134,moe-hs-english-2017-2020-appendix-2
738,degree,degree,degree,,,compulsory_education,word,D,142,134,moe-hs-english-2017-2020-appendix-2
739,delay**,delay,delay,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
740,delete**,delete,delete,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
741,delicate**,delicate,delicate,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
742,delicious,delicious,delicious,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
743,deliver*,deliver,deliver,,*,high_school_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
744,demand**,demand,demand,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
745,demonstrate**,demonstrate,demonstrate,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
746,dentist**,dentist,dentist,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
747,deny**,deny,deny,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
748,department**,department,department,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
749,departure**,departure,departure,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
750,depend,depend,depend,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
751,depress**,depress,depress,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
752,depth**,depth,depth,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
753,describe,describe,describe,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
754,description*,description,description,,*,high_school_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
755,desert*,desert,desert,,*,high_school_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
756,deserve**,deserve,deserve,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
757,design*,design,design,,*,high_school_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
758,desire*,desire,desire,,*,high_school_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
759,desk,desk,desk,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
760,desperate**,desperate,desperate,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
761,despite*,despite,despite,,*,high_school_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
762,dessert**,dessert,dessert,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
763,destination*,destination,destination,,*,high_school_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
764,destroy*,destroy,destroy,,*,high_school_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
765,detail*,detail,detail,,*,high_school_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
766,detect**,detect,detect,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
767,detective**,detective,detective,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
768,determine*,determine,determine,,*,high_school_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
769,develop,develop,develop,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
770,development,development,development,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
771,device**,device,device,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
772,devote**,devote,devote,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
773,diagram*,diagram,diagram,,*,high_school_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
774,dialogue (dialog),dialogue (dialog),dialogue,dialog,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
775,diamond**,diamond,diamond,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
776,diary,diary,diary,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
777,dictionary,dictionary,dictionary,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
778,die,die,die,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
779,diet*,diet,diet,,*,high_school_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
780,differ**,differ,differ,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
781,difference,difference,difference,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
782,different,different,different,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
783,difficult,difficult,difficult,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
784,difficulty,difficulty,difficulty,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
785,dig,dig,dig,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
786,digest**,digest,digest,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
787,digital*,digital,digital,,*,high_school_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
788,dignity**,dignity,dignity,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
789,dimension**,dimension,dimension,,**,high_school_selective_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
790,dining,dining,dining,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
791,dinner,dinner,dinner,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
792,dinosaur*,dinosaur,dinosaur,,*,high_school_compulsory,word,D,143,135,moe-hs-english-2017-2020-appendix-2
793,direct,direct,direct,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
794,direction,direction,direction,,,compulsory_education,word,D,143,135,moe-hs-english-2017-2020-appendix-2
795,director,director,director,,,compulsory_education,word,D,144,136,moe-hs-english-2017-2020-appendix-2
796,directory **,directory,directory,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
797,dirty,dirty,dirty,,,compulsory_education,word,D,144,136,moe-hs-english-2017-2020-appendix-2
798,disability**,disability,disability,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
799,disabled**,disabled,disabled,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
800,disappear*,disappear,disappear,,*,high_school_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
801,disappointed**,disappointed,disappointed,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
802,disaster*,disaster,disaster,,*,high_school_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
803,discipline**,discipline,discipline,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
804,discount**,discount,discount,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
805,discover,discover,discover,,,compulsory_education,word,D,144,136,moe-hs-english-2017-2020-appendix-2
806,discovery,discovery,discovery,,,compulsory_education,word,D,144,136,moe-hs-english-2017-2020-appendix-2
807,discrimination**,discrimination,discrimination,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
808,discuss,discuss,discuss,,,compulsory_education,word,D,144,136,moe-hs-english-2017-2020-appendix-2
809,discussion,discussion,discussion,,,compulsory_education,word,D,144,136,moe-hs-english-2017-2020-appendix-2
810,disease*,disease,disease,,*,high_school_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
811,dish,dish,dish,,,compulsory_education,word,D,144,136,moe-hs-english-2017-2020-appendix-2
812,disk (disc)**,disk (disc),disk,disc,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
813,dismiss**,dismiss,dismiss,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
814,display**,display,display,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
815,distance*,distance,distance,,*,high_school_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
816,distant**,distant,distant,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
817,distinct**,distinct,distinct,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
818,distinguish**,distinguish,distinguish,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
819,distribution**,distribution,distribution,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
820,district**,district,district,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
821,disturb**,disturb,disturb,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
822,dive**,dive,dive,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
823,diverse**,diverse,diverse,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
824,divide,divide,divide,,,compulsory_education,word,D,144,136,moe-hs-english-2017-2020-appendix-2
825,division**,division,division,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
826,dizzy**,dizzy,dizzy,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
827,do,do,do,,,compulsory_education,word,D,144,136,moe-hs-english-2017-2020-appendix-2
828,doctor,doctor,doctor,,,compulsory_education,word,D,144,136,moe-hs-english-2017-2020-appendix-2
829,document*,document,document,,*,high_school_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
830,dog,dog,dog,,,compulsory_education,word,D,144,136,moe-hs-english-2017-2020-appendix-2
831,dollar,dollar,dollar,,,compulsory_education,word,D,144,136,moe-hs-english-2017-2020-appendix-2
832,dolphin*,dolphin,dolphin,,*,high_school_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
833,domain**,domain,domain,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
834,domestic**,domestic,domestic,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
835,dominate**,dominate,dominate,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
836,donate*,donate,donate,,*,high_school_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
837,door,door,door,,,compulsory_education,word,D,144,136,moe-hs-english-2017-2020-appendix-2
838,dormitory**,dormitory,dormitory,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
839,double,double,double,,,compulsory_education,word,D,144,136,moe-hs-english-2017-2020-appendix-2
840,doubt,doubt,doubt,,,compulsory_education,word,D,144,136,moe-hs-english-2017-2020-appendix-2
841,down,down,down,,,compulsory_education,word,D,144,136,moe-hs-english-2017-2020-appendix-2
842,download*,download,download,,*,high_school_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
843,downstairs*,downstairs,downstairs,,*,high_school_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
844,downtown*,downtown,downtown,,*,high_school_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
845,dozen**,dozen,dozen,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
846,draft**,draft,draft,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
847,drag**,drag,drag,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
848,dragon*,dragon,dragon,,*,high_school_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
849,drama**,drama,drama,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
850,dramatic**,dramatic,dramatic,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2
851,draw,draw,draw,,,compulsory_education,word,D,145,137,moe-hs-english-2017-2020-appendix-2
852,drawer**,drawer,drawer,,**,high_school_selective_compulsory,word,D,145,137,moe-hs-english-2017-2020-appendix-2
853,dream,dream,dream,,,compulsory_education,word,D,145,137,moe-hs-english-2017-2020-appendix-2
854,dress,dress,dress,,,compulsory_education,word,D,145,137,moe-hs-english-2017-2020-appendix-2
855,drill**,drill,drill,,**,high_school_selective_compulsory,word,D,145,137,moe-hs-english-2017-2020-appendix-2
856,drink,drink,drink,,,compulsory_education,word,D,145,137,moe-hs-english-2017-2020-appendix-2
857,drive,drive,drive,,,compulsory_education,word,D,145,137,moe-hs-english-2017-2020-appendix-2
858,driver,driver,driver,,,compulsory_education,word,D,145,137,moe-hs-english-2017-2020-appendix-2
859,drop,drop,drop,,,compulsory_education,word,D,145,137,moe-hs-english-2017-2020-appendix-2
860,drought*,drought,drought,,*,high_school_compulsory,word,D,145,137,moe-hs-english-2017-2020-appendix-2
861,drug**,drug,drug,,**,high_school_selective_compulsory,word,D,145,137,moe-hs-english-2017-2020-appendix-2
862,dry,dry,dry,,,compulsory_education,word,D,145,137,moe-hs-english-2017-2020-appendix-2
863,duck,duck,duck,,,compulsory_education,word,D,145,137,moe-hs-english-2017-2020-appendix-2
864,due to*,due to,due to,,*,high_school_compulsory,multiword,D,145,137,moe-hs-english-2017-2020-appendix-2
865,dumpling,dumpling,dumpling,,,compulsory_education,word,D,145,137,moe-hs-english-2017-2020-appendix-2
866,duration**,duration,duration,,**,high_school_selective_compulsory,word,D,145,137,moe-hs-english-2017-2020-appendix-2
867,during,during,during,,,compulsory_education,word,D,145,137,moe-hs-english-2017-2020-appendix-2
868,dust**,dust,dust,,**,high_school_selective_compulsory,word,D,145,137,moe-hs-english-2017-2020-appendix-2
869,duty*,duty,duty,,*,high_school_compulsory,word,D,145,137,moe-hs-english-2017-2020-appendix-2
870,dynamic**,dynamic,dynamic,,**,high_school_selective_compulsory,word,D,145,137,moe-hs-english-2017-2020-appendix-2
871,dynasty**,dynasty,dynasty,,**,high_school_selective_compulsory,word,D,145,137,moe-hs-english-2017-2020-appendix-2
872,each,each,each,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
873,eager*,eager,eager,,*,high_school_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2
874,eagle**,eagle,eagle,,**,high_school_selective_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2
875,ear,ear,ear,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
876,early,early,early,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
877,earn*,earn,earn,,*,high_school_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2
878,earth,earth,earth,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
879,earthquake,earthquake,earthquake,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
880,ease**,ease,ease,,**,high_school_selective_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2
881,east,east,east,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
882,eastern,eastern,eastern,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
883,easy,easy,easy,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
884,eat,eat,eat,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
885,ecology**,ecology,ecology,,**,high_school_selective_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2
886,economic**,economic,economic,,**,high_school_selective_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2
887,edge**,edge,edge,,**,high_school_selective_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2
888,editor*,editor,editor,,*,high_school_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2
889,education,education,education,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
890,educator**,educator,educator,,**,high_school_selective_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2
891,effect*,effect,effect,,*,high_school_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2
892,efficient**,efficient,efficient,,**,high_school_selective_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2
893,effort*,effort,effort,,*,high_school_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2
894,egg,egg,egg,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
895,eight,eight,eight,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
896,eighteen,eighteen,eighteen,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
897,eighth,eighth,eighth,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
898,eighty,eighty,eighty,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
899,either,either,either,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
900,elder,elder,elder,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
901,elderly**,elderly,elderly,,**,high_school_selective_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2
902,election**,election,election,,**,high_school_selective_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2
903,electricity*,electricity,electricity,,*,high_school_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2
904,electronic,electronic,electronic,,,compulsory_education,word,E,145,137,moe-hs-english-2017-2020-appendix-2
905,elegant**,elegant,elegant,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
906,element*,element,element,,*,high_school_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
907,elephant,elephant,elephant,,,compulsory_education,word,E,146,138,moe-hs-english-2017-2020-appendix-2
908,eleven,eleven,eleven,,,compulsory_education,word,E,146,138,moe-hs-english-2017-2020-appendix-2
909,else,else,else,,,compulsory_education,word,E,146,138,moe-hs-english-2017-2020-appendix-2
910,elsewhere**,elsewhere,elsewhere,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
911,email,email,email,,,compulsory_education,word,E,146,138,moe-hs-english-2017-2020-appendix-2
912,embarrassed**,embarrassed,embarrassed,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
913,emerge**,emerge,emerge,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
914,emergency**,emergency,emergency,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
915,emotion**,emotion,emotion,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
916,emperor**,emperor,emperor,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
917,emphasis**,emphasis,emphasis,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
918,employ**,employ,employ,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
919,empty,empty,empty,,,compulsory_education,word,E,146,138,moe-hs-english-2017-2020-appendix-2
920,enable*,enable,enable,,*,high_school_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
921,encounter**,encounter,encounter,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
922,encourage,encourage,encourage,,,compulsory_education,word,E,146,138,moe-hs-english-2017-2020-appendix-2
923,end,end,end,,,compulsory_education,word,E,146,138,moe-hs-english-2017-2020-appendix-2
924,enemy,enemy,enemy,,,compulsory_education,word,E,146,138,moe-hs-english-2017-2020-appendix-2
925,energetic*,energetic,energetic,,*,high_school_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
926,energy*,energy,energy,,*,high_school_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
927,engage**,engage,engage,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
928,engine*,engine,engine,,*,high_school_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
929,engineer,engineer,engineer,,,compulsory_education,word,E,146,138,moe-hs-english-2017-2020-appendix-2
930,England,England,England,,,compulsory_education,word,E,146,138,moe-hs-english-2017-2020-appendix-2
931,English,English,English,,,compulsory_education,word,E,146,138,moe-hs-english-2017-2020-appendix-2
932,enhance**,enhance,enhance,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
933,enjoy,enjoy,enjoy,,,compulsory_education,word,E,146,138,moe-hs-english-2017-2020-appendix-2
934,enormous**,enormous,enormous,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2
935,enough,enough,enough,,,compulsory_education,word,E,146,138,moe-hs-english-2017-2020-appendix-2
