record_id,word,official_variants,source_entry,source_sequence,source_component_index,source_component_count,curriculum_level,marker,alphabetic_section,source_print_page,source_id,part_of_speech,definitions_zh,phonetic_uk,phonetic_us,enrichment_status
curriculum-0018,accept,,accept,18,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0019,access,,access,19,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0020,accident,,accident,20,1,1,high_school_compulsory,*,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0021,accommodation,,accommodation,21,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0022,accompany,,accompany,22,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0023,according to,,according to,23,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0024,account,,account,24,1,1,high_school_compulsory,*,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0025,accurate,,accurate,25,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0026,accuse,,accuse,26,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0027,ache,,ache,27,1,1,high_school_compulsory,*,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0028,achieve,,achieve,28,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0029,achievement,,achievement,29,1,1,high_school_compulsory,*,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0030,acid,,acid,30,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0031,acknowledge,,acknowledge,31,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
