phrase,normalized_phrase,word_count,minimum_lexical_level,oewn_match,oewn_pos,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,candidate_status,priority_score,human_review_claimed
think about,think about,2,junior,true,v,think_about%2:31:03::|think_about%2:31:05::,false,26,evidence_ready_review,57.549,false
long time,long time,2,junior,true,a|n,long-time%5:00:00:old:01|long_time%1:28:00::,false,52,evidence_ready_review,57.279,false
all over,all over,2,junior,true,a|r,all_over%4:02:00::|all_over%4:02:01::|all_over%5:00:00:finished:01,false,34,evidence_ready_review,56.293,false
do with,do with,2,junior,false,,,true,36,moby_corpus_review,56.095,false
solar system,solar system,2,senior_high,true,n,solar_system%1:17:00::,true,36,evidence_ready_review,56.095,false
no matter,no matter,2,junior,true,r,no_matter%4:02:00::,false,33,evidence_ready_review,55.875,false
make up,make up,2,junior,true,n|v,make-up%1:06:00::|make-up%1:07:00::|make-up%1:11:00::|make_up%2:29:00::|make_up%2:30:00::|make_up%2:32:00::|make_up%2:36:01::|make_up%2:36:03::|make_up%2:40:00::|make_up%2:41:00::|make_up%2:42:00::|make_up%2:42:03::,false,23,evidence_ready_review,55.85,false
take care,take care,2,junior,true,v,take_care%2:41:00::|take_care%2:41:11::|take_care%2:41:12::,false,23,evidence_ready_review,55.85,false
ask for,ask for,2,junior,true,v,ask_for%2:32:00::|ask_for%2:37:00::,true,17,evidence_ready_review,55.699,false
prime minister,prime minister,2,cet4,true,n,prime_minister%1:18:00::|prime_minister%1:18:01::,true,35,evidence_ready_review,55.699,false
in order,in order,2,junior,true,a,in_order%5:00:00:ready:00,false,46,evidence_ready_review,55.546,false
just as,just as,2,junior,true,r,just_as%4:02:02::,false,32,evidence_ready_review,55.444,false
come back,come back,2,junior,true,v,come_back%2:30:00::|come_back%2:32:00::|come_back%2:32:01::|come_back%2:38:01::,false,22,evidence_ready_review,55.236,false
end up,end up,2,junior,true,v,end_up%2:30:01::,false,22,evidence_ready_review,55.236,false
each year,each year,2,junior,true,r,each_year%4:02:00::|each_year%4:02:01::,false,31,evidence_ready_review,55.0,false
in addition,in addition,2,senior_high,true,r,in_addition%4:02:01::,false,31,evidence_ready_review,55.0,false
in time,in time,2,junior,true,n|r,in_time%1:28:00::|in_time%4:02:00::|in_time%4:02:01::,false,31,evidence_ready_review,55.0,false
on it,on it,2,junior,true,r,on_it%4:02:00::,false,31,evidence_ready_review,55.0,false
out to,out to,2,junior,true,a,out_to%5:00:00:resolute:00,false,44,evidence_ready_review,54.919,false
get back,get back,2,junior,true,v,get_back%2:33:00::|get_back%2:33:01::|get_back%2:33:13::,true,16,evidence_ready_review,54.875,false
get it,get it,2,junior,true,v,get_it%2:31:00::|get_it%2:41:01::,false,21,evidence_ready_review,54.594,false
close to,close to,2,junior,true,r,close_to%4:02:00::,false,30,evidence_ready_review,54.542,false
space station,space station,2,junior,true,n,space_station%1:06:00::,true,32,evidence_ready_review,54.444,false
every year,every year,2,junior,true,r,every_year%4:02:00::,false,29,evidence_ready_review,54.069,false
come out,come out,2,junior,true,v,come_out%2:30:00::|come_out%2:30:01::|come_out%2:30:03::|come_out%2:30:04::|come_out%2:31:00::|come_out%2:32:00::|come_out%2:32:01::|come_out%2:38:00::|come_out%2:38:01::|come_out%2:38:06::|come_out%2:42:00::,true,15,evidence_ready_review,54.0,false
focus on,focus on,2,junior,true,v,focus_on%2:42:00::,false,20,evidence_ready_review,53.923,false
pick up,pick up,2,junior,true,v,pick_up%2:29:00::|pick_up%2:30:00::|pick_up%2:30:01::|pick_up%2:31:00::|pick_up%2:34:00::|pick_up%2:35:00::|pick_up%2:35:01::|pick_up%2:37:00::|pick_up%2:38:00::|pick_up%2:38:01::|pick_up%2:39:00::|pick_up%2:39:01::|pick_up%2:40:00::|pick_up%2:40:01::|pick_up%2:40:02::|pick_up%2:41:00::,false,20,evidence_ready_review,53.923,false
and how,and how,2,junior,true,r,and_how%4:02:00::,false,28,evidence_ready_review,53.58,false
on that,on that,2,junior,true,r,on_that%4:02:00::,false,28,evidence_ready_review,53.58,false
get out,get out,2,junior,true,v,get_out%2:32:00::|get_out%2:32:01::|get_out%2:32:03::|get_out%2:35:00::|get_out%2:38:00::|get_out%2:38:01::|get_out%2:38:02::,false,19,evidence_ready_review,53.219,false
at last,at last,2,junior,true,r,at_last%4:02:00::,false,27,evidence_ready_review,53.074,false
to it,to it,2,junior,true,r,to_it%4:02:00::,false,27,evidence_ready_review,53.074,false
figure out,figure out,2,senior_high,true,v,figure_out%2:31:00::,true,14,evidence_ready_review,53.069,false
high school,high school,2,junior,true,n,high_school%1:14:00::,true,29,evidence_ready_review,53.069,false
walk in,walk in,2,junior,true,a|n|v,walk-in%1:06:00::|walk-in%1:11:00::|walk-in%1:18:00::|walk-in%1:18:01::|walk-in%5:00:00:deep:01|walk_in%2:38:00::,true,14,evidence_ready_review,53.069,false
